31001_2622	Gebäude zur Müllverbrennung	1850
31001_2623	Gebäude der Abfalldeponie	1860
31001_2700	Gebäude für Land- und Forstwirtschaft	1870
31001_2720	Land- und forstwirtschaftliches Betriebsgebäude	1870
31001_2721	Scheune	1880
31001_2723	Schuppen	1880
31001_2724	Stall	1890
31001_2726	Scheune und Stall	1880
31001_2727	Stall für Tiergroßhaltung	1890
31001_2728	Reithalle	1900
31001_2729	Wirtschaftsgebäude	1870
31001_2732	Almhütte	1910
31001_2735	Jagdhaus, Jagdhütte	1920
31001_2740	Treibhaus, Gewächshaus	1930
31001_2741	Treibhaus	1940
31001_2742	Gewächshaus, verschiebbar	1950
31001_3000	Gebäude für öffentliche Zwecke	1960
31001_3010	Verwaltungsgebäude	1970
31001_3011	Parlament	1980
31001_3012	Rathaus	1990
31001_3013	Post	2000
31001_3014	Zollamt	2010
31001_3015	Gericht	2020
31001_3016	Botschaft, Konsulat	2030
31001_3017	Kreisverwaltung	2040
31001_3018	Bezirksregierung	2050
31001_3019	Finanzamt	2060
31001_3020	Gebäude für Bildung und Forschung	2070
31001_3021	Allgemein bildende Schule	2080
31001_3022	Berufsbildende Schule	2090
31001_3023	Hochschulgebäude (Fachhochschule, Universität)	2100
31001_3024	Forschungsinstitut	2110
31001_3030	Gebäude für kulturelle Zwecke	2120
31001_3031	Schloss	2130
31001_3032	Theater, Oper	2140
31001_3033	Konzertgebäude	2150
31001_3034	Museum	2160
31001_3035	Rundfunk, Fernsehen	2170
31001_3036	Veranstaltungsgebäude	2180
31001_3037	Bibliothek, Bücherei	2190
31001_3038	Burg, Festung	2200
31001_3040	Gebäude für religiöse Zwecke	2210
31001_3041	Kirche	2220
31001_3042	Synagoge	2230
31001_3043	Kapelle	2240
31001_3044	Gemeindehaus	2250
31001_3045	Gotteshaus	2260
31001_3046	Moschee	2270
31001_3047	Tempel	2280
31001_3048	Kloster	2290
31001_3050	Gebäude für Gesundheitswesen	2300
31001_3051	Krankenhaus	2310
31001_3052	Heilanstalt, Pflegeanstalt, Pflegestation	2320
31001_3053	Ärztehaus, Poliklinik	2330
31001_3060	Gebäude für soziale Zwecke	2340
